Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:109533	Abcb7	Abcb7<tm1.1Mdf>/Abcb7<+>	involves: 129S4/SvJae * FVB	ht	MP:0002080	prenatal lethality
MGI:87866	Acadl	Acadl<tm1Uab>/Acadl<+>	involves: 129S6/SvEvTac * C57BL/6NTac	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:87874	Ace	Ace<tm1Unc>/Ace<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:87911	Acvr1	Acvr1<tm1Emsh>/Acvr1<+>	C57BL/6-Acvr1<tm1Emsh>	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1338946	Acvrl1	Acvrl1<tm1Spo>/Acvrl1<tm1Enl>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1096335	Adam17	Adam17<tm1a(EUCOMM)Wtsi>/Adam17<+>	involves: C57BL/6 * C57BL/6N	ht	MP:0010831	lethality, incomplete penetrance
MGI:1916320	Adamts9	Adamts9<Mhdaund3>/Adamts9<tm1.2Cvrk>	involves: 129S6/SvEvTac * C3HeB/FeJ * C57BL/6NTac * FVB/N	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:1916320	Adamts9	Adamts9<tm1Dgen>/Adamts9<tm1.2Apte>	involves: 129P2/OlaHsd * 129S4/SvJae * C57BL/6 * SJL	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1889575	Adar	Adar<tm2Knk>/Adar<+>	chimera involves: 129S1/Sv * 129X1/SvJ * FVB/N	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1100819	Aff1	Aff1<Rob>/Aff1<+>	involves: BALB/cAnNCrl * C3H/HeN	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1913799	Aggf1	Aggf1<Gt(PT036)Byg>/Aggf1<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:1913799	Aggf1	Aggf1<tm1Qkw>/Aggf1<+>	involves: 129 * C57BL/6	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:1349419	Aifm1	Aifm1<tm2.1Pngr>/Aifm1<+>	involves: 129P2/OlaHsd * FVB/N	ht	MP:0011102	embryonic lethality, incomplete penetrance
